Unnamed: 0,start_station_name,value
1580,W 21 St & 6 Ave,6352
1711,West St & Chambers St,6120
495,Broadway & W 58 St,5704
286,6 Ave & W 33 St,5279
8,1 Ave & E 68 St,5234
461,Broadway & E 14 St,4889
463,Broadway & E 21 St,4875
485,Broadway & W 25 St,4871
1504,University Pl & E 14 St,4751
1596,W 31 St & 7 Ave,4698
787,E 33 St & 1 Ave,4527
589,Cleveland Pl & Spring St,4480
29,12 Ave & W 40 St,4477
287,6 Ave & W 34 St,4464
24,11 Ave & W 41 St,4421
1712,West St & Liberty St,4405
1102,Lafayette St & E 8 St,4359
562,Central Park S & 6 Ave,4321
328,8 Ave & W 33 St,4219
795,E 40 St & Park Ave,4206
